Topulen dispensary,Level 2,Dispensary,Baringo,Tiaty East,Operational,Condom Distribution & STI Prevention
Chemoril dispensary,Level 2,Dispensary,Baringo,Tiaty East,Operational,Condom Distribution & STI Prevention
Katungura dispensary,Level 2,Dispensary,Baringo,Tiaty East,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place"
Akwichatis Health Centre,Level 3,Basic Health Centre,Baringo,Tiaty East,Operational,Condom Distribution & STI Prevention
FAO Hope Medical Clinic,Level 2,Medical Clinic,Busia,Teso North,Closed,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Magaoni Health Centre,Level 3,Basic Health Centre,Kwale,Msambweni,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Denticheck Clinical Services,Level 2,Medical Clinic,Nakuru,Gilgil,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Josiah Community Medical Centre,Level 2,Medical Clinic,Nairobi,Embakasi East,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
CHS Kitui Central Dice,Level 2,Medical Clinic,Kitui,Kitui Central,Operational,"Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Roborwo Dispensary,Level 2,Dispensary,Bomet,Chepalungu,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kiboson Dispensary,Level 2,Dispensary,Bomet,Chepalungu,Operational,"Nutrition assessment ,counselling and support ( The NACS process) for PLHIVs, Post-Exposure Prophylaxis (PEP), HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kimaya Dispensary,Level 2,Dispensary,Bomet,Chepalungu,Operational,"Nutrition assessment ,counselling and support ( The NACS process) for PLHIVs, Post-Exposure Prophylaxis (PEP), HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Tilangok Dispensary,Level 2,Dispensary,Bomet,Chepalungu,Operational,"Nutrition assessment ,counselling and support ( The NACS process) for PLHIVs, Post-Exposure Prophylaxis (PEP), HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Chemasusu Dispensary,Level 2,Dispensary,Baringo,Koibatek,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Sinonin Dispensary (Koibatek),Level 2,Dispensary,Baringo,Koibatek,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Saos Dispensary,Level 2,Dispensary,Baringo,Koibatek,Operational,"HIV Counselling & Testing, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Muserechi Dispensary,Level 2,Dispensary,Baringo,Koibatek,Operational,"HIV Counselling & Testing, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Ngungi Dispensary,Level 2,Dispensary,Kitui,Kitui East,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
AP Kanyonyoo Dispensary,Level 2,Dispensary,Kitui,Kitui Rural,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kilonzo Dispensary,Level 2,Dispensary,Kitui,Kitui East,Operational,"HIV Counselling & Testing, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kamaembe Dispensary,Level 2,Dispensary,Kitui,Kitui East,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Masoka Dispensary,Level 2,Dispensary,Kitui,Kitui Rural,Non-Operational,HIV Counselling & Testing
Ndooni Dispensary,Level 2,Dispensary,Kitui,Mwingi North,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Tekeleza Dice Kisii,Level 2,Medical Clinic,Kisii,Kitutu Chache South,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Lina Medical Services,Level 2,Dispensary,Nairobi,Embakasi East,Non-Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
AAR Health Care,Level 2,Medical Clinic,Nairobi,Embakasi East,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Support For Addiction Prevention & Treatment In Africa (SAPTA),Level 2,Medical Clinic,Nairobi,Starehe,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Condom Distribution & STI Prevention"
Florensis Kenya LTD Medical clinic(Naivasha),Level 2,Medical Clinic,Nakuru,Naivasha,Non-Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Umbrella Health Clinic,Level 2,Medical Clinic,Kisumu,Nyando,Operational,HIV Counselling & Testing
South Ngariama Health Centre,Level 3,HEALTH CENTRE,Kirinyaga,Kirinyaga South,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kambini Dispensary,Level 2,Dispensary,Bungoma,Kimilili,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Sagana State Lodge Dispensary,Level 2,Dispensary,Nyeri,Mathira West,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Lwala Nyarago Dispensary,Level 2,Dispensary,Migori,Uriri,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
LELA Dispensary,Level 2,Dispensary,Migori,Uriri,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Afya Health System Hospital,Level 4,Primary care hospitals,Homa Bay,Homa Bay Town,Closed,HIV Counselling & Testing
Malongo Health Centre,Level 2,Basic Health Centre,Homa Bay,Suba South,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
St.Teresa Hospital Kiambu,Level 4,Primary care hospitals,Kiambu,Kiambu Town,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
ICRH Drop In Centre Ukunda,Level 2,VCT,Kwale,Msambweni,Closed,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Kongelai Dispensary,Level 2,Dispensary,West Pokot,West Pokot,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Paraywa Dispensary,Level 2,Dispensary,West Pokot,West Pokot,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Kalemrekai Dispensary,Level 2,Dispensary,West Pokot,West Pokot,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Takaywa Dispensary,Level 2,Dispensary,West Pokot,Pokot Central,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Maximum Medical Clinic,Level 2,Medical Clinic,Nairobi,Kasarani,Operational,"HIV Counselling & Testing, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kalemung'orok Dispensary,Level 2,Dispensary,West Pokot,KACHELIBA,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Gaketha Dispensary,Level 2,DISPENSARY,Tharaka Nithi,Muthambi,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention"
NEP Technical Training Institute Dispensary,Level 2,Dispensary,Garissa,Garissa,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kasha dispensary,Level 2,Dispensary,Garissa,Balambala,Operational,Condom Distribution & STI Prevention
Ndumbini Dispensary,Level 2,Dispensary,Tharaka Nithi,Muthambi,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention"
Kome Health Center,Level 3,Basic Health Centre,Homa Bay,Ndhiwa,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Kijana Heri Medical Clinic,Level 2,Medical Clinic,Kilifi,Magarini,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Karimboni Dispensary,Level 2,Dispensary,Kilifi,Magarini,Operational,"HIV Counselling & Testing, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Malanga Dispensary (Vitengeni),Level 2,Dispensary,Kilifi,Ganze,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Nyamwetureko Dispensary,Level 2,Dispensary,Nyamira,Nyamira,Operational,"Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention"
Milenye Health Centre,Level 3,Basic Health Centre,Kisumu,Muhoroni,Operational,"HIV risk reduction services for prioity populations and geographies, HEI - HIV exposed infants, Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Chepkono Dispensary,Level 2,Dispensary,West Pokot,Pokot South,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention"
Cheptiangwa Dispensary,Level 2,Dispensary,West Pokot,KIPKOMO,Operational,HIV Counselling & Testing
Chemotong Dispensary,Level 2,Dispensary,West Pokot,KIPKOMO,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Cheptya Dispensary,Level 2,Dispensary,West Pokot,KIPKOMO,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Kitende Dispensary,Level 2,Dispensary,Makueni,Kibwezi West,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Bungoma West Medical Services,Level 3,Medical Center,Bungoma,Kanduyi,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Tabani Dispensary,Level 2,Dispensary,Bungoma,Tongaren,Operational,"Post-Exposure Prophylaxis (PEP), HIV Counselling & Testing, Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Khairat Medical Centre,Level 2,Medical Clinic,Kilifi,Kilifi North,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Orwa Dispensary,Level 2,Dispensary,West Pokot,Pokot Central,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Onoch Dispensary,Level 2,Dispensary,West Pokot,Pokot Central,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kokwotendwo Dispensary,Level 2,Dispensary,West Pokot,Pokot Central,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Nyang'aita Dispensary,Level 2,Dispensary,West Pokot,Pokot Central,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Karindundu dispensary,Level 2,Dispensary,Nyeri,Mathira East,Operational,"Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention"
Bore Singwaya Dispensary,Level 2,Dispensary,Kilifi,Magarini,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Chamari Dispensary,Level 2,Dispensary,Kilifi,Magarini,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Shomella Dispensary,Level 2,Dispensary,Kilifi,Magarini,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kenya Institute of Special Education Dispensary,Level 2,Dispensary,Nairobi,Kasarani,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Kimeswon Health Centre,Level 3,Basic Health Centre,Nakuru,Kuresoi North,Operational,"Nutrition assessment ,counselling and support ( The NACS process) for PLHIVs, Post-Exposure Prophylaxis (PEP), HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Nzikani Community Centre,Level 2,Medical Clinic,Kitui,Mwingi Central,Closed,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Ngura Medical Clinic,Level 2,Medical Clinic,Kitui,Mwingi Central,Closed,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kiamanyomba Dispensary,Level 2,Dispensary,Nyamira,Nyamira North,Operational,"HIV risk reduction services for prioity populations and geographies, Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kiomara Dispensary,Level 2,Dispensary,Nyamira,Nyamira North,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Rianyambweke Dispensary,Level 2,Dispensary,Nyamira,Nyamira North,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Nyabweri Dispensary,Level 2,Dispensary,Nyamira,Nyamira North,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
St. Tresa's Medical Center,Level 2,Medical Clinic,Nakuru,Gilgil,Operational,"Nutrition assessment ,counselling and support ( The NACS process) for PLHIVs, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV, HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing"
Glory Medical Clinic (Gilgil),Level 2,Medical Clinic,Nakuru,Gilgil,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Lwanda Kobita Health Center,Level 3,Basic Health Centre,Homa Bay,Ndhiwa,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kenlands Health Services,Level 2,Medical Clinic,Nakuru,Nakuru West,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Sinai Clinic,Level 2,Medical Clinic,Kitui,Mwingi Central,Closed,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Rehoboth Maternity and Nursing Home (Mwingi Central),Level 3,Nursing and Maternity Home,Kitui,Mwingi Central,Closed,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Nuu Medical Clinic,Level 2,Medical Clinic,Kitui,Mwingi Central,Closed,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kavisu Dispensary (Mwingi central),Level 2,Dispensary,Kitui,Mwingi Central,Operational,"HIV Counselling & Testing, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Manza Dispensary,Level 2,Dispensary,Makueni,Makueni,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Mwambui Dispensary,Level 2,Dispensary,Kitui,Mwingi Central,Operational,"HIV Counselling & Testing, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Afya Medical Clinic (Mbaruk),Level 2,Medical Clinic,Nakuru,Gilgil,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Gibea Medical Centre,Level 2,Medical Clinic,Nakuru,Nakuru East,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Matulani Dispensary,Level 2,Dispensary,Kitui,Mwingi Central,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kyumbe Dispensary,Level 2,Dispensary,Kitui,Mwingi Central,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Inavi Dispensary,Level 2,Dispensary,Vihiga,Vihiga,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kemakoba Dispensary,Level 2,Dispensary,Migori,Kuria East,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Sulwe Dispensary,Level 2,Dispensary,Bungoma,Kimilili,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Unga Health Center,Level 3,Basic Health Centre,Homa Bay,Ndhiwa,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kobodo Health Center,Level 3,Basic Health Centre,Homa Bay,Ndhiwa,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Blue Cross Medical Clinic,Level 2,Medical Clinic,Nakuru,Gilgil,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place"
Mercy Clinic,Level 2,Medical Clinic,Nakuru,Gilgil,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention"
Agakhan Medical Centre Nakuru,Level 2,Medical Clinic,Nakuru,Nakuru East,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
St Pauls Ndumbuli Community Health Centre,Level 3,Basic Health Centre,Machakos,Mwala,Operational,HIV Counselling & Testing
Kamasielo Dispensary,Level 2,Dispensary,Bungoma,Kimilili,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
University of Embu Health Unit,Level 2,Dispensary,Embu,Manyatta,Operational,"Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention"
CHS Mwingi Central Dice,Level 2,Dispensary,Kitui,Mwingi Central,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kyanganda Dispensary,Level 2,Dispensary,Makueni,Kaiti,Operational,"HIV Counselling & Testing, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Shianda Dispensary,Level 2,Dispensary,Kakamega,Mumias East,Operational,"Nutrition assessment ,counselling and support ( The NACS process) for PLHIVs, HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kurum Dispensary,Level 2,Dispensary,Laikipia,Laikipia North,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Sango Kabuyefwe Dispensary,Level 2,Dispensary,Bungoma,Tongaren,Operational,"HIV Counselling & Testing, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kaalem Dispensary,Level 2,Dispensary,Turkana,Turkana North,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Kathome Dispensary (Kangundo),Level 2,Dispensary,Machakos,Kangundo,Operational,"HIV Counselling & Testing, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Ngelechom Community Dispensary,Level 2,Dispensary,Busia,Teso South,Operational,"HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Aga Khan Medical Centre Kericho,Level 2,Medical Clinic,Kericho,Ainamoi,Operational,"HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Virhembe Nursing Home,Level 3,Nursing Homes,Kakamega,Shinyalu,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Infection Prevention and control to mitigate HIV infection in the work place, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Vikunga Dispensary,Level 2,Dispensary,Kakamega,Shinyalu,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, Condom Distribution & STI Prevention, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Ndere Health Centre,Level 3,Basic Health Centre,Homa Bay,Karachuonyo,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
Nyangajo health Centre,Level 3,Basic Health Centre,Homa Bay,Karachuonyo,Operational,"HIV risk reduction services for prioity populations and geographies, HIV Counselling & Testing, HEI - HIV exposed infants, Infection Prevention and control to mitigate HIV infection in the work place, Management of Sexually Transmitted Illness (STI), Condom Distribution & STI Prevention, HIV preventive Package, EMTCT-Elimination of Mother to Child  Transmission of HIV"
